,0
C0,-1.920030702728902
C1,0.7878353806562497
C2,-2.4301281785791025
C3,-0.9506577619642836
C4,-1.6202872188156852
C5,-1.4406315163895587
C6,-1.8210393975583479
C7,-0.08505295347973484
C8,0.9940288286533802
C9,-2.064777419238542
C10,-2.1463621090222618
C11,-1.8821675133857727
C12,-1.7222047033308163
C13,-2.216281919610005
C14,-0.3513780178568268
C15,-2.163649489683411
C16,-1.0155790503752786
C17,-0.5056380389657648
C18,-1.1014953257695363
C19,-1.1411178329017444
P0,3.402249919015861
P3,2.3342260580029506
P7,-0.5362127173915671
P8,0.8673521832473561
P9,1.4738279592798202
P10,2.1589294726508985
P11,1.3556869647618341
P13,1.7918306644611852
P15,1.3113206502749635
P16,2.736082788843931
P18,1.2622679278175712
P19,1.0436248513312294
P20,3.323189306753792
P22,0.7828321436160344
P24,1.4894067676800826
