,0
C0,0.15774568802964706
C1,-0.5452282496312545
C2,0.19589124836455857
C3,-0.009234286913176874
C4,-0.04336691013260189
C5,0.21513270280223867
C6,0.28772557715923247
C7,0.2825193325200695
C8,-0.5481737555441273
C9,0.20593617878538065
C10,0.16522525902720658
C11,0.33787722099712647
C12,-0.15121774201932345
C13,0.19135970080629303
C14,-0.4954542347565493
C15,0.4672906666819286
C16,0.1270444533223976
C17,-0.4919221451875234
C18,-0.1322557330144031
C19,-0.21689497129711974
P0,-1.4774808710554472
P3,-1.223001747815357
P7,-0.8066104303184363
P8,-0.6105630953157596
P9,-0.8751173592937274
P10,-0.9130816577263078
P11,-0.5826764551474772
P13,-0.34490111971243814
P15,-0.46686772224315715
P16,-0.6430316335707329
P18,-0.6388449871321797
P19,-0.8285582256589693
P20,-0.8956830326289896
P22,-0.8838556935019161
P24,-1.0183067095556566
