,0
C0,-2.4681959547955556
C1,0.7671625759824249
C2,-1.5587960320914502
C3,-0.7557366572385403
C4,-1.164102913352147
C5,-1.642570175547362
C6,-1.088092287881909
C7,-0.8178993630628035
C8,1.6881360289756988
C9,-1.2689536242608765
C10,-2.1058609784364117
C11,-1.817168734050891
C12,-0.6969802495364317
C13,-2.033171662789024
C14,0.12832466171993265
C15,-2.646344419444289
C16,-1.2625047163932974
C17,-0.6423870313537654
C18,-0.8035648337407292
C19,-0.33368113262543103
P0,2.0648377420342907
P3,2.4696817617727906
P7,-0.6466319904630553
P8,1.3316984008368884
P9,1.445600082142221
P10,2.1548664612069963
P11,0.5027068440538424
P13,-0.05893442114670284
P15,1.8630887743146736
P16,2.1880329431113106
P18,1.7213133088427122
P19,0.7386569864063474
P20,1.931125723664933
P22,0.7215102544568579
P24,2.0948346286887523
