,0
C0,0.23053985174671604
C1,-0.281205246496299
C2,0.0650151479619718
C3,0.056982104368825635
C4,-0.07985793108808936
C5,-0.026858295655864808
C6,0.08537513831081438
C7,0.2695221658635796
C8,-0.32561924216411636
C9,0.26050230976879735
C10,0.09051910571582851
C11,0.040569220126992905
C12,0.10791553090073588
C13,0.00080672690925813
C14,-0.3541348972909187
C15,0.29345124851395815
C16,0.06654569797170357
C17,-0.343546612359023
C18,-0.02394086003926539
C19,-0.13258116306560508
P0,-1.3399417404271243
P3,-1.3575066566874443
P7,-0.47650666998382984
P8,-0.6798732034690832
P9,-0.8749083923377708
P10,-0.807478294781524
P11,-0.3001726406739143
P13,-0.006009104980318467
P15,-0.5224421566220024
P16,-0.4858928102865086
P18,-0.826605912084249
P19,-0.8723283817349984
P20,-0.8413288381721874
P22,-0.6970389966885189
P24,-1.1816816320886057
