,0
C0,0.13825514875092743
C1,-0.43959804550347586
C2,0.30542791519379003
C3,0.07887761606799804
C4,-0.09289430263784344
C5,0.23496783610235167
C6,0.3942760237547664
C7,0.1464060246746701
C8,-0.5464319830746182
C9,0.24033033524557823
C10,0.16129957684414442
C11,0.23480920665576302
C12,-0.09610785010132228
C13,0.20177641539430194
C14,-0.47245375260598266
C15,0.27369749785016523
C16,0.05164745362932968
C17,-0.4780969820796657
C18,-0.18086911020746532
C19,-0.15531902395341343
P0,-1.3560949922104581
P3,-1.1769839700580684
P7,-0.7014884858575415
P8,-0.5630827497594896
P9,-0.7010059448224777
P10,-0.9126750608303932
P11,-0.5611948429091522
P13,-0.45658182428723104
P15,-0.44509556504147857
P16,-0.5372327925076545
P18,-0.6616168153788684
P19,-0.9838102390655368
P20,-0.9753613174403415
P22,-0.9168300338134231
P24,-0.9338601783940622
